Liste des mesures du '2021-04-02 15:58:07+00' au '2021-04-02 17:03:07+00'
Date;Station;Type;Valeur
2021-04-02 17:30:00;Zaouiat sidi Hamza;pluie 1h;0.0
2021-04-02 17:30:00;Zaouiat sidi Hamza;pluie 24h;0.0
2021-04-02 17:45:00;Ennzala;pluie 1h;0.0
2021-04-02 17:45:00;Ennzala;pluie 24h;0.0
2021-04-02 17:45:00;Foum Tillicht;pluie 1h;0.0
2021-04-02 17:45:00;Foum Tillicht;pluie 24h;0.0
2021-04-02 17:45:00;M'zizel;pluie 1h;0.0
2021-04-02 17:45:00;M'zizel;pluie 24h;0.0
2021-04-02 17:45:00;Oued Lehmar;pluie 1h;0.0
2021-04-02 17:45:00;Oued Lehmar;pluie 24h;0.0
2021-04-02 17:45:00;Outerbate;pluie 1h;0.0
2021-04-02 17:45:00;Outerbate;pluie 24h;0.0
2021-04-02 17:45:00;Zaouiat sidi Hamza;pluie 1h;0.0
2021-04-02 17:45:00;Zaouiat sidi Hamza;pluie 24h;0.0
